Geneid	Brain	Duodenum	Hatchling_Brain	Hatchling_Carapace	Hatchling_Kidney	Kidney	Liver	Lung	merged	Sciatic_Nerve	Skeletal_Muscle	Spinal_Cord	Testis
G14888	0	0	0	0	0	0	0	0	0	0	0	0	0
G14889	1	19	8	1	0	0	13	1	43	0	0	0	0
G14890	5	2	1	0	0	2	16	4	45	2	0	8	5
G14891	13	6	20	12	0	15	26	14	157	0	5	7	39
G14892	0	0	0	0	0	0	0	0	0	0	0	0	0
G14893	0	2	1	3	0	2	11	2	49	0	21	3	4
G14894	154	48	67	23	1	161	44	61	1143	1	212	145	226
G14895	0	0	0	0	0	0	0	0	0	0	0	0	0
G14896	0	0	0	0	0	0	0	0	0	0	0	0	0
G14897	0	0	0	0	0	0	0	2	2	0	0	0	0
G14898	0	0	0	0	0	0	0	0	0	0	0	0	0
G14899	0	0	0	0	0	0	0	2	4	0	0	1	1
G14900	3	1	0	0	1	0	0	0	6	0	1	0	0
G14901	1	5	2	1	0	3	5	1	29	0	3	3	5
G14902	0	0	0	0	0	0	0	0	0	0	0	0	0
G14903	0	0	0	0	0	0	0	0	0	0	0	0	0
G14904	77	62	55	54	1	114	50	69	879	1	153	97	146
G14905	0	0	0	0	0	0	0	0	0	0	0	0	0
G14906	0	0	0	0	0	0	0	0	0	0	0	0	0
G14907	16	12	10	22	0	11	15	6	122	0	18	5	7
G14908	10	14	8	15	2	9	9	7	133	0	7	4	48
G14909	2	0	0	0	0	1	0	3	10	0	2	0	2
G14910	0	0	0	0	0	0	0	1	2	0	1	0	0
G14911	26	1	31	14	1	9	17	10	311	0	136	15	51
G14912	0	0	0	2	0	0	0	0	2	0	0	0	0
G14913	23	5	12	14	0	14	6	16	176	0	3	14	69
G14914	2	2	0	0	0	2	0	2	11	0	2	0	1
G14915	10	8	22	7	0	9	5	10	108	1	15	13	8
G14916	0	0	0	0	0	1	0	0	1	0	0	0	0
G14917	0	0	0	0	0	0	0	0	0	0	0	0	0
G14918	1	0	4	1	0	2	0	1	12	0	0	2	1
G14919	29	6	18	5	0	14	11	6	126	0	10	24	3
G14920	6	3	1	9	0	4	7	0	37	0	0	3	4
G14921	6	0	3	0	0	0	0	0	10	0	0	1	0
G14922	0	0	0	0	0	0	0	0	0	0	0	0	0
G14923	1	1	0	4	0	2	1	2	17	0	0	4	2
G14924	4	0	3	0	0	0	0	0	7	0	0	0	0
G14925	3	1	5	5	1	1	2	2	30	0	0	3	7
G14926	0	0	0	1	0	0	0	0	1	0	0	0	0
G14927	2	0	22	58	0	4	2	0	116	0	1	10	17
G14928	0	0	0	3	0	0	0	0	4	0	0	0	1
G14929	7	13	9	14	0	14	5	7	73	0	0	2	2
G14930	1	1	1	13	0	1	0	0	18	0	0	0	1
G14931	0	0	2	6	0	0	0	0	11	0	0	1	2
G14932	0	0	0	5	0	0	2	0	7	0	0	0	0
G14933	1	0	0	3	0	0	0	0	4	0	0	0	0
G14934	4	3	0	36	0	6	8	2	77	0	0	1	17
G14935	0	0	0	5	0	0	0	0	7	0	1	0	1
G14936	0	0	0	0	0	0	0	0	0	0	0	0	0
G14937	14	7	16	6	3	10	2	3	121	0	7	12	41
G14938	4	0	4	3	0	1	0	0	17	0	0	1	4
G14939	0	0	1	0	0	0	0	0	1	0	0	0	0
G14940	1	1	0	0	0	1	0	0	4	0	0	1	0
G14941	4	3	1	2	0	11	10	2	56	0	3	4	16
G14942	0	0	0	0	0	0	0	0	0	0	0	0	0
G14943	1	0	2	1	0	0	0	0	4	0	0	0	0
G14944	0	0	1	0	0	0	0	0	1	0	0	0	0
G14945	0	0	0	0	0	0	1	0	1	0	0	0	0
G14946	0	0	1	1	0	0	0	0	2	0	0	0	0
G14947	0	1	0	4	0	0	0	0	6	0	0	0	1
G14948	0	0	0	0	0	0	0	0	0	0	0	0	0
G14949	0	0	0	0	0	0	0	0	0	0	0	0	0
G14950	1	2	7	53	0	7	14	1	119	0	0	8	26
G14951	148	19	133	75	7	110	78	64	1056	0	60	142	220
G14952	19	9	13	83	2	58	49	8	375	0	72	26	36
G14953	3	0	2	13	0	1	10	1	35	0	0	2	3
G14954	3	0	0	0	0	2	0	0	37	0	0	2	30
G14955	12	0	31	3	1	2	1	0	63	0	2	6	5
G14956	0	0	0	0	0	0	0	0	0	0	0	0	0
G14957	19	6	20	36	3	25	9	17	223	0	29	23	36
G14958	24	42	14	35	1	68	25	16	431	0	42	17	147
G14959	0	0	0	0	0	4	0	0	4	0	0	0	0
G14960	62	58	85	36	5	91	72	85	737	3	50	89	101
G14961	1	0	0	0	0	1	0	2	9	0	1	0	4
G14962	212	32	75	35	1	161	44	80	1087	1	214	165	67
G14963	4	4	0	15	2	69	54	12	193	0	4	5	24
G14964	0	0	0	0	0	1	1	0	2	0	0	0	0
G14965	5	0	152	2	0	1	1	2	199	0	0	17	19
G14966	0	4	0	0	0	1	3	4	12	0	0	0	0
G14967	26	2	10	12	2	15	4	13	164	0	13	25	42
G14968	5	0	1	1	0	7	2	1	36	1	1	5	12
G14969	0	0	0	0	0	0	0	0	0	0	0	0	0
G14970	0	0	0	0	0	0	0	0	0	0	0	0	0
G14971	0	0	0	0	0	0	0	0	0	0	0	0	0
G14972	9	4	4	0	0	4	7	0	36	0	1	1	6
G14973	0	0	0	0	0	0	0	0	0	0	0	0	0
G14974	0	0	0	0	0	0	0	0	0	0	0	0	0
G14975	0	0	0	0	0	0	0	0	1	0	0	0	1
G14976	40	15	26	8	1	24	7	19	221	9	7	43	22
G14977	3	1	5	3	0	4	0	0	41	0	1	5	19
G14978	0	0	10	0	0	0	0	0	10	0	0	0	0
G14979	107	0	82	0	0	13	0	1	256	0	0	43	10
G14980	0	0	0	0	0	0	0	0	1	0	0	0	1
